Year,disease,DeathRate,states,statescode
2017,Kidney disease,16.5,Alabama , AL
2017,Kidney disease,9.9,Alaska , AK
2017,Kidney disease,6.2,Arizona , AZ
2017,Kidney disease,19.7,Arkansas , AR
2017,Kidney disease,8.9,California , CA
2017,Kidney disease,8.9,Colorado , CO
2017,Kidney disease,11.2,Connecticut , CT
2017,Kidney disease,16.1,Delaware , DE
2017,Kidney disease,10,District of Columbia , DC
2017,Kidney disease,10.1,Florida , FL
2017,Kidney disease,18.6,Georgia , GA
2017,Kidney disease,10.7,Hawaii , HI
2017,Kidney disease,9,Idaho , ID
2017,Kidney disease,16.8,Illinois , IL
2017,Kidney disease,18.5,Indiana , IN
2017,Kidney disease,8.8,Iowa , IA
2017,Kidney disease,15,Kansas , KS
2017,Kidney disease,19.4,Kentucky , KY
2017,Kidney disease,20.6,Louisiana , LA
2017,Kidney disease,13,Maine , ME
2017,Kidney disease,11.9,Maryland , MD
2017,Kidney disease,13.4,Massachusetts , MA
2017,Kidney disease,14.7,Michigan , MI
2017,Kidney disease,7.7,Minnesota , MN
2017,Kidney disease,21.7,Mississippi , MS
2017,Kidney disease,19.6,Missouri , MO
2017,Kidney disease,9.2,Montana , MT
2017,Kidney disease,9.5,Nebraska , NE
2017,Kidney disease,9,Nevada , NV
2017,Kidney disease,9.4,New Hampshire , NH
2017,Kidney disease,13.9,New Jersey , NJ
2017,Kidney disease,12.9,New Mexico , NM
2017,Kidney disease,9.1,New York , NY
2017,Kidney disease,17.1,North Carolina , NC
2017,Kidney disease,12.9,North Dakota , ND
2017,Kidney disease,15,Ohio , OH
2017,Kidney disease,10.2,Oklahoma , OK
2017,Kidney disease,7.3,Oregon , OR
2017,Kidney disease,15.9,Pennsylvania , PA
2017,Kidney disease,11.6,Rhode Island , RI
2017,Kidney disease,15.5,South Carolina , SC
2017,Kidney disease,6.8,South Dakota , SD
2017,Kidney disease,14.4,Tennessee , TN
2017,Kidney disease,16,Texas , TX
2017,Kidney disease,15.4,Utah , UT
2017,Kidney disease,3.3,Vermont , VT
2017,Kidney disease,16.9,Virginia , VA
2017,Kidney disease,5.3,Washington , WA
2017,Kidney disease,17.1,West Virginia , WV
2017,Kidney disease,12.5,Wisconsin , WI
2017,Kidney disease,9.5,Wyoming , WY
